Marital Status,Application mode,Application order,Course,Previous qualification,Nacionality,Admission grade,Displaced,Gender,Age at enrollment,Economic Status,Financial Status,Success rate 1st sem,Success rate 2nd sem,Target
*,Alternative_Access,"[0, 3[",STEM,Higher_Exp,Portuguese,"[130, 191[",0,0,"[17, 23[","[2, 5[",2,3,3,Graduate
*,Alternative_Access,"[0, 3[",STEM,Higher_Exp,Portuguese,"[130, 191[",0,0,"[17, 23[","[2, 5[",3,3,3,Graduate
*,Alternative_Access,"[0, 3[",STEM,Higher_Exp,Portuguese,"[130, 191[",0,0,"[17, 23[","[2, 5[",2,3,3,Graduate
*,Alternative_Access,"[0, 3[",STEM,Higher_Exp,Portuguese,"[130, 191[",0,0,"[17, 23[","[2, 5[",2,1,2,Enrolled
*,Alternative_Access,"[0, 3[",STEM,Higher_Exp,Portuguese,"[130, 191[",0,0,"[17, 23[","[2, 5[",2,0,0,Dropout
*,Alternative_Access,"[0, 3[",STEM,Higher_Exp,Portuguese,"[130, 191[",0,0,"[17, 23[","[2, 5[",2,1,2,Dropout
*,Alternative_Access,"[0, 3[",STEM,Higher_Exp,Portuguese,"[130, 191[",0,0,"[17, 23[","[2, 5[",2,1,3,Enrolled
*,Alternative_Access,"[0, 3[",STEM,Higher_Exp,Portuguese,"[130, 191[",0,0,"[17, 23[","[2, 5[",2,3,2,Enrolled
*,Alternative_Access,"[0, 3[",STEM,Higher_Exp,Portuguese,"[130, 191[",0,1,"[17, 23[","[2, 5[",3,3,3,Graduate
*,Alternative_Access,"[0, 3[",STEM,Higher_Exp,Portuguese,"[130, 191[",0,1,"[17, 23[","[2, 5[",2,0,1,Enrolled
*,Alternative_Access,"[0, 3[",STEM,Higher_Exp,Portuguese,"[130, 191[",0,1,"[17, 23[","[2, 5[",2,1,1,Enrolled
*,Alternative_Access,"[0, 3[",STEM,Higher_Exp,Portuguese,"[130, 191[",0,1,"[17, 23[","[2, 5[",2,2,2,Enrolled
*,Alternative_Access,"[0, 3[",STEM,Higher_Exp,Portuguese,"[130, 191[",0,1,"[17, 23[","[2, 5[",3,3,3,Enrolled
*,Alternative_Access,"[0, 3[",STEM,Higher_Exp,Portuguese,"[130, 191[",0,1,"[17, 23[","[2, 5[",2,0,0,Dropout
