Marital Status,Application mode,Application order,Course,Previous qualification,Nacionality,Admission grade,Displaced,Gender,Age at enrollment,Success rate 1st sem,Success rate 2nd sem,Financial Status,Economic Status,Target
1,17,5,171,1,1,127.3,1,1,20,0,0,2,6,Dropout
1,15,1,9254,1,1,142.5,1,1,19,3,3,1,5,Graduate
1,1,5,9070,1,1,124.8,1,1,19,0,0,1,6,Dropout
1,17,2,9773,1,1,119.6,1,0,20,3,3,2,6,Graduate
2,39,1,8014,1,1,141.5,0,0,45,3,3,2,5,Graduate
2,39,1,9991,19,1,114.8,0,1,50,3,3,1,4,Graduate
1,1,1,9500,1,1,128.4,1,0,18,3,3,3,2,Graduate
1,18,4,9254,1,1,113.1,1,1,22,0,0,1,2,Dropout
1,1,3,9238,1,62,129.3,0,0,21,3,3,3,4,Graduate
1,1,1,9238,1,1,123.0,1,0,18,3,1,0,7,Dropout
1,1,1,9670,1,1,130.6,1,0,18,3,3,2,5,Graduate
1,1,1,9500,1,1,119.3,1,0,18,3,3,3,3,Graduate
1,1,2,9853,1,1,130.2,1,0,19,0,0,2,3,Dropout
1,53,1,9254,42,1,111.8,1,0,21,3,3,3,7,Graduate
1,1,1,9085,1,1,137.1,1,0,18,3,3,3,6,Graduate
1,1,1,9773,1,1,120.7,1,0,20,3,0,2,2,Dropout
1,18,1,9238,1,1,137.4,1,0,18,0,1,2,5,Enrolled
1,17,2,9500,1,1,127.3,1,0,18,3,3,2,2,Graduate
1,1,1,9130,1,1,136.3,1,0,20,3,3,2,5,Graduate
1,1,1,9853,1,1,124.6,1,0,18,3,3,2,4,Enrolled
1,1,3,171,1,1,120.3,0,0,21,0,0,3,6,Graduate
1,18,4,9556,1,1,121.8,1,0,20,3,3,2,3,Enrolled
1,1,4,9500,1,1,125.5,1,0,18,3,3,2,3,Graduate
1,1,4,9670,1,1,114.9,1,0,19,3,3,3,6,Graduate
1,1,1,9500,1,1,123.9,0,0,19,3,3,2,6,Graduate
1,1,1,9238,1,1,157.0,1,0,18,3,2,2,5,Enrolled
1,17,2,9238,1,1,116.4,1,0,21,3,3,2,4,Graduate
1,1,1,9085,1,1,131.0,1,0,18,3,3,2,6,Enrolled
1,1,1,9147,1,1,122.1,1,0,20,3,3,2,4,Graduate
1,17,2,9500,1,1,118.8,1,1,19,3,3,2,4,Enrolled
1,44,1,9003,39,1,150.0,0,1,21,3,3,2,4,Enrolled
1,51,1,9070,1,1,130.0,1,1,20,3,2,2,7,Graduate
1,1,1,9147,1,1,138.8,0,1,18,2,1,1,7,Enrolled
1,18,1,8014,1,1,134.5,1,0,19,3,3,2,7,Graduate
1,1,1,9991,1,1,131.4,0,1,34,3,3,2,5,Graduate
1,39,1,33,1,1,102.5,0,1,37,0,0,0,7,Dropout
1,39,1,9119,10,1,128.8,1,1,43,0,0,2,5,Dropout
1,43,1,9147,1,1,122.9,0,0,55,0,1,2,4,Dropout
4,39,1,9991,1,1,113.9,1,0,39,3,3,2,5,Graduate
1,44,1,9130,39,6,120.0,0,0,20,1,1,0,7,Dropout
1,1,5,9773,1,1,121.1,0,0,18,2,0,1,3,Dropout
1,1,2,9147,1,1,120.4,1,0,22,3,3,2,7,Graduate
1,1,6,9500,1,1,100.6,1,0,22,2,3,2,6,Graduate
