Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Admission grade,Displaced,Educational special needs,Gender,Age at enrollment,Unemployment rate,Inflation rate,GDP,Target,Success rate 1st sem,Success rate 2nd sem,Financial Status
1,17,5,171,1,1,1,127.3,1,0,1,20,10.8,1.4,1.74,Dropout,0,0,2
1,15,1,9254,1,1,1,142.5,1,0,1,19,13.9,-0.3,0.79,Graduate,3,3,1
1,1,5,9070,1,1,1,124.8,1,0,1,19,10.8,1.4,1.74,Dropout,0,0,1
1,17,2,9773,1,1,1,119.6,1,0,0,20,9.4,-0.8,-3.12,Graduate,3,3,2
2,39,1,8014,0,1,1,141.5,0,0,0,45,13.9,-0.3,0.79,Graduate,3,3,2
2,39,1,9991,0,19,1,114.8,0,0,1,50,16.2,0.3,-0.92,Graduate,3,3,1
1,1,1,9500,1,1,1,128.4,1,0,0,18,15.5,2.8,-4.06,Graduate,3,3,3
1,18,4,9254,1,1,1,113.1,1,0,1,22,15.5,2.8,-4.06,Dropout,0,0,1
1,1,3,9238,1,1,62,129.3,0,0,0,21,16.2,0.3,-0.92,Graduate,3,3,3
1,1,1,9238,1,1,1,123.0,1,0,0,18,8.9,1.4,3.51,Dropout,3,1,0
1,1,1,9670,1,1,1,130.6,1,0,0,18,13.9,-0.3,0.79,Graduate,3,3,2
1,1,1,9500,1,1,1,119.3,1,0,0,18,12.7,3.7,-1.7,Graduate,3,3,3
1,1,2,9853,1,1,1,130.2,1,0,0,19,12.7,3.7,-1.7,Dropout,0,0,2
1,53,1,9254,1,42,1,111.8,1,0,0,21,8.9,1.4,3.51,Graduate,3,3,3
1,1,1,9085,1,1,1,137.1,1,0,0,18,10.8,1.4,1.74,Graduate,3,3,3
1,1,1,9773,1,1,1,120.7,1,0,0,20,15.5,2.8,-4.06,Dropout,3,0,2
1,18,1,9238,1,1,1,137.4,1,0,0,18,10.8,1.4,1.74,Enrolled,0,1,2
1,17,2,9500,1,1,1,127.3,1,0,0,18,15.5,2.8,-4.06,Graduate,3,3,2
1,1,1,9130,1,1,1,136.3,1,0,0,20,10.8,1.4,1.74,Graduate,3,3,2
1,1,1,9853,1,1,1,124.6,1,0,0,18,16.2,0.3,-0.92,Enrolled,3,3,2
1,1,3,171,1,1,1,120.3,0,0,0,21,11.1,0.6,2.02,Graduate,0,0,3
1,18,4,9556,1,1,1,121.8,1,0,0,20,12.7,3.7,-1.7,Enrolled,3,3,2
1,1,4,9500,1,1,1,125.5,1,0,0,18,12.7,3.7,-1.7,Graduate,3,3,2
1,1,4,9670,1,1,1,114.9,1,0,0,19,11.1,0.6,2.02,Graduate,3,3,3
1,1,1,9500,1,1,1,123.9,0,0,0,19,11.1,0.6,2.02,Graduate,3,3,2
1,1,1,9238,1,1,1,157.0,1,0,0,18,7.6,2.6,0.32,Enrolled,3,2,2
1,17,2,9238,1,1,1,116.4,1,0,0,21,16.2,0.3,-0.92,Graduate,3,3,2
1,1,1,9085,1,1,1,131.0,1,0,0,18,9.4,-0.8,-3.12,Enrolled,3,3,2
1,1,1,9147,1,1,1,122.1,1,0,0,20,16.2,0.3,-0.92,Graduate,3,3,2
1,17,2,9500,1,1,1,118.8,1,0,1,19,16.2,0.3,-0.92,Enrolled,3,3,2
1,44,1,9003,1,39,1,150.0,0,0,1,21,16.2,0.3,-0.92,Enrolled,3,3,2
1,51,1,9070,1,1,1,130.0,1,0,1,20,8.9,1.4,3.51,Graduate,3,2,2
1,1,1,9147,1,1,1,138.8,0,0,1,18,8.9,1.4,3.51,Enrolled,2,1,1
1,18,1,8014,0,1,1,134.5,1,0,0,19,12.4,0.5,1.79,Graduate,3,3,2
1,1,1,9991,0,1,1,131.4,0,0,1,34,13.9,-0.3,0.79,Graduate,3,3,2
1,39,1,33,1,1,1,102.5,0,0,1,37,8.9,1.4,3.51,Dropout,0,0,0
1,39,1,9119,1,10,1,128.8,1,0,1,43,7.6,2.6,0.32,Dropout,0,0,2
1,43,1,9147,1,1,1,122.9,0,0,0,55,16.2,0.3,-0.92,Dropout,0,1,2
4,39,1,9991,0,1,1,113.9,1,0,0,39,7.6,2.6,0.32,Graduate,3,3,2
1,44,1,9130,1,39,6,120.0,0,0,0,20,12.4,0.5,1.79,Dropout,1,1,0
1,1,5,9773,1,1,1,121.1,0,0,0,18,12.7,3.7,-1.7,Dropout,2,0,1
1,1,2,9147,1,1,1,120.4,1,0,0,22,8.9,1.4,3.51,Graduate,3,3,2
1,1,6,9500,1,1,1,100.6,1,1,0,22,11.1,0.6,2.02,Graduate,2,3,2
